07025.2020-9;None;PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS  INTERNAS - 44 HORAS SEMANAIS DIURNAS - PRODUTIVIDADE 600 M2;None;None;None;None;None;None
07045.2022-2;None;AUDITORIA EXTERNA - ELEIÇÕIES GERAIS DE  2022;None;None;None;None;None;None
07067.2021-0;None;FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO;None;None;None;None;None;None
07244.2021-5;None;ADMINISTRACAO  EXECUCAO PROJETO EDUCACIONAL  CONVENIO  ESTAGIO  UNIVERSITARIO  MONITOR;None;None;None;None;None;None
07264.2021-2;None;PROGRAMA ( SOFTWARE ) - SEGURANCA;None;None;None;None;None;None
07272.2021-7;None;AR CONDICIONADO - MANUTENCAO SISTEMA CENTRAL;None;None;None;None;None;None
07273.2021-1;None;MANUTENCAO DE GRUPOS DIESEL GERADOR DE EMERGENCIA;None;None;None;None;None;None
07918.2020-3;None;Locação de Imóvel;None;None;None;None;None;None
10825.2020-6;None;LAVANDERIA E TINTURARIA;None;None;None;None;None;None
2164-2019;None;MANUTENCAO  REFORMA PREDIAL;None;None;None;None;None;None
9873-2016;None;NUTRICIONISTA;None;None;None;None;None;None
